"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"1","AFC Bournemouth","epl","#e62333","#000000",NA,NA,NA,"AFC","Bournemouth","AFC Bournemouth",NA
"2","Air Force","ncaa","#003087","#8A8D8F","#B1B3B3","#FFC72C","MWC","Air Force",NA,"Air Force Falcons","http://content.sportslogos.net/logos/30/595/thumbs/3pr1czgf0mqhfdqfv1mqrvfiq.gif"
"3","Akron Zips","ncaa","#041E42","#A89968",NA,NA,"MAC","Akron","Zips","Akron Zips","http://content.sportslogos.net/logos/30/596/thumbs/59688302014.gif"
"4","Alabama Crimson Tide","ncaa","#9E1B32","#828A8F","#FFFFFF",NA,"SEC","Alabama","Crimson Tide","Alabama Crimson Tide","http://content.sportslogos.net/logos/30/597/thumbs/d8nqfhswwqiht1dc4y5p0dmeh.gif"
"5","Albany (NY)","ncaa","#461660","#EEB211",NA,NA,"Am. East","Albany","(NY)","Albany Great Danes","http://content.sportslogos.net/logos/30/818/thumbs/81878742008.gif"
"6","Anaheim Ducks","nhl","#010101","#a2aaad","#fc4c02","#85714d","Pacific","Anaheim","Ducks","Anaheim Ducks","http://content.sportslogos.net/logos/1/1736/thumbs/173616512014.gif"
"7","Appalachian State Mountaineers","ncaa","#222222","#FFCC00",NA,NA,"Sunbelt","Appalachian State","Mountaineers","Appalachian State Mountaineers","http://content.sportslogos.net/logos/30/602/thumbs/60213682014.gif"
"8","Arizona Cardinals","nfl","#97233f","#000000","#ffb612","#a5acaf","NFC West","Arizona","Cardinals","Arizona Cardinals","http://content.sportslogos.net/logos/7/177/thumbs/kwth8f1cfa2sch5xhjjfaof90.gif"
"9","Arizona Coyotes","nhl","#010101","#862633","#ddcba4",NA,NA,"Arizona","Coyotes","Arizona Coyotes","http://content.sportslogos.net/logos/1/5263/thumbs/526378072015.gif"
"10","Arizona Diamondbacks","mlb","#a71930","#000000","#e3d4ad",NA,"NL West","Arizona","Diamondbacks","Arizona Diamondbacks","http://content.sportslogos.net/logos/54/50/thumbs/gnnnrbxcmjhdgeu6mavqk3945.gif"
"11","Arizona State Sun Devils","ncaa","#8C1D40","#FFC627",NA,NA,"Pac 12","Arizona State","Sun Devils","Arizona State Sun Devils","http://content.sportslogos.net/logos/30/604/thumbs/60465632012.gif"
"12","Arizona Wildcats","ncaa","#CC0033","#003366",NA,NA,"Pac 12","Arizona","Wildcats","Arizona Wildcats","http://content.sportslogos.net/logos/30/603/thumbs/2416.gif"
"13","Arkansas Razorbacks","ncaa","#9D2235","#FFFFFF",NA,NA,"SEC","Arkansas","Razorbacks","Arkansas Razorbacks","http://content.sportslogos.net/logos/30/606/thumbs/60692202014.gif"
"14","Arkansas State Red Wolves","ncaa","#CC092F","#000000",NA,NA,"Sunbelt","Arkansas State","Red Wolves","Arkansas State Red Wolves","http://content.sportslogos.net/logos/30/605/thumbs/60588462008.gif"
"15","Arsenal","epl","#ef0107","#023474","#9c824a",NA,NA,"Arsenal",NA,"Arsenal",NA
"16","Atlanta Braves","mlb","#ce1141","#13274f",NA,NA,"NL East","Atlanta","Braves","Atlanta Braves","http://content.sportslogos.net/logos/54/51/thumbs/5171502018.gif"
"17","Atlanta Dream","wnba","#C8102E","#418FDE","#CED9E5","#0C2340","Eastern","Atlanta","Dream","Atlanta Dream","http://content.sportslogos.net/logos/16/2614/thumbs/261461412020.gif"
"18","Atlanta Falcons","nfl","#a71930","#000000","#a5acaf","#a30d2d","NFC South","Atlanta","Falcons","Atlanta Falcons","http://content.sportslogos.net/logos/7/173/thumbs/299.gif"
"19","Atlanta Hawks","nba","#e13a3e","#c4d600","#061922",NA,"Southeast","Atlanta","Hawks","Atlanta Hawks","http://content.sportslogos.net/logos/6/220/thumbs/22091682016.gif"
"20","Atlanta United FC","mls","#a29061","#80000b","#000000",NA,NA,"Atlanta","United FC","Atlanta United FC","http://content.sportslogos.net/logos/9/5475/thumbs/547573932017.gif"
"21","Auburn Tigers","ncaa","#0C2340","#E87722",NA,NA,"SEC","Auburn","Tigers","Auburn Tigers","http://content.sportslogos.net/logos/30/610/thumbs/61011451968.gif"
"22","Ball State Cardinals","ncaa","#BA0C2F","#000000",NA,NA,"MAC","Ball State","Cardinals","Ball State Cardinals","http://content.sportslogos.net/logos/30/612/thumbs/61273522015.gif"
"23","Baltimore Orioles","mlb","#df4601","#000000",NA,NA,"AL East","Baltimore","Orioles","Baltimore Orioles","http://content.sportslogos.net/logos/53/52/thumbs/5258002019.gif"
"24","Baltimore Ravens","nfl","#241773","#000000","#9e7c0c","#c60c30","AFC North","Baltimore","Ravens","Baltimore Ravens","http://content.sportslogos.net/logos/7/153/thumbs/318.gif"
"25","Baylor Bears","ncaa","#003015","#FECB00",NA,NA,"Big 12","Baylor","Bears","Baylor Bears","http://content.sportslogos.net/logos/30/613/thumbs/7369.gif"
